Category,Term
disease,disease
disease,disorder
disease,condition
disease,illness
disease,syndrome
disease,infection
disease,cancer
disease,tumor
disease,heart disease
disease,heart attack
disease,myocardial infarction
disease,stroke
disease,diabetes
disease,hypertension
disease,high blood pressure
disease,asthma
disease,chronic bronchitis
disease,COPD
disease,emphysema
disease,pneumonia
disease,tuberculosis
disease,HIV
disease,AIDS
disease,flu
disease,influenza
disease,common cold
disease,bronchitis
disease,allergy
disease,hay fever
disease,allergic rhinitis
disease,sinusitis
disease,arthritis
disease,osteoarthritis
disease,rheumatoid arthritis
disease,gout
disease,Alzheimer's disease
disease,dementia
disease,epilepsy
disease,seizure disorder
disease,multiple sclerosis
disease,Parkinson's disease
disease,lupus
disease,systemic lupus erythematosus
disease,hepatitis
disease,cirrhosis
disease,liver disease
disease,kidney disease
disease,nephritis
disease,renal failure
disease,thyroid disease
disease,hypothyroidism
disease,hyperthyroidism
disease,Graves' disease
disease,Hashimoto's disease
disease,anemia
disease,iron deficiency anemia
disease,thalassemia
disease,sickle cell anemia
disease,leukemia
disease,lymphoma
disease,Hodgkin's lymphoma
disease,non-Hodgkin's lymphoma
disease,melanoma
disease,skin cancer
disease,basal cell carcinoma
disease,squamous cell carcinoma
disease,prostate cancer
disease,breast cancer
disease,lung cancer
disease,colorectal cancer
disease,bladder cancer
disease,esophageal cancer
disease,stomach cancer
disease,pancreatic cancer
disease,ulcer
disease,peptic ulcer
disease,gastritis
disease,GERD
disease,acid reflux
disease,migraine
disease,tension headache
disease,cluster headache
disease,eczema
disease,atopic dermatitis
disease,psoriasis
disease,rosacea
disease,lupus erythematosus
disease,osteoporosis
disease,fibromyalgia
disease,IBS
disease,irritable bowel syndrome
disease,Crohn's disease
disease,ulcerative colitis
disease,cystic fibrosis
disease,blood clot
disease,deep vein thrombosis
disease,DVT
disease,varicose veins
disease,peripheral artery disease
disease,endometriosis
disease,polycystic ovary syndrome
disease,PCOS
disease,meningitis
disease,encephalitis
disease,chickenpox
disease,measles
disease,mumps
disease,rubella
disease,whooping cough
disease,pertussis
disease,scarlet fever
disease,dengue fever
disease,malaria
disease,Lyme disease
disease,Zika virus
disease,chikungunya
disease,ebola
disease,Marburg virus
disease,anthrax
disease,plague
disease,rabies
disease,hepatitis A
disease,hepatitis B
disease,hepatitis C
disease,COVID-19
disease,SARS
disease,MERS
disease,avian flu
disease,swine flu
disease,H1N1
disease,RSV
disease,shingles
disease,herpes zoster
disease,herpes simplex
disease,HSV-1
disease,HSV-2
disease,HPV
disease,human papillomavirus
disease,mononucleosis
disease,Epstein-Barr virus
disease,smallpox
disease,typhoid fever
disease,cholera
disease,tetanus
disease,botulism
disease,diphtheria
disease,rheumatic fever
disease,Buerger's disease
disease,Behcet's disease
disease,Zika virus
disease,chronic fatigue syndrome
disease,lupus nephritis
disease,pelvic inflammatory disease
disease,septicemia
disease,tuberculosis
disease,Huntington's disease
disease,Kawasaki disease
disease,Cushing's syndrome
disease,Graves' disease
disease,acromegaly
disease,Ehlers-Danlos syndrome
disease,pneumonitis
disease,bronchiectasis
disease,pulmonary embolism
disease,tinnitus
disease,glaucoma
disease,keratitis
disease,herpes simplex keratitis
disease,meniere's disease
disease,COPD exacerbation
disease,hepatomegaly
disease,splenomegaly
disease,bipolar disorder
disease,schizophrenia
disease,autism spectrum disorder
disease,macular degeneration
disease,age-related macular degeneration
disease,primary biliary cirrhosis
disease,scleroderma
disease,hemophilia
disease,amyloidosis
disease,spinal cord injury
disease,spinal muscular atrophy
disease,hernia
disease,gallbladder disease
disease,peptic ulcer disease
disease,gastrointestinal reflux disease
disease,Celiac disease
disease,panhypopituitarism
disease,pulmonary fibrosis
disease,rheumatic heart disease
disease,polymyositis
disease,dermatomyositis
disease,Klinefelter syndrome
disease,Turner syndrome
disease,Wiskott-Aldrich syndrome
disease,achondroplasia
disease,hemochromatosis
disease,hypoparathyroidism
disease,hyperparathyroidism
disease,alopecia areata
symptom,symptom
symptom,sign
symptom,indicator
symptom,fever
symptom,high temperature
symptom,chills
symptom,sweating
symptom,headache
symptom,migraine
symptom,dizziness
symptom,nausea
symptom,vomiting
symptom,diarrhea
symptom,constipation
symptom,fatigue
symptom,tiredness
symptom,weakness
symptom,shortness of breath
symptom,difficulty breathing
symptom,cough
symptom,sore throat
symptom,runny nose
symptom,stuffy nose
symptom,sneezing
symptom,chest pain
symptom,heart palpitations
symptom,pain
symptom,joint pain
symptom,muscle pain
symptom,back pain
symptom,abdominal pain
symptom,stomachache
symptom,rash
symptom,itching
symptom,redness
symptom,swelling
symptom,bruising
symptom,bleeding
symptom,dry skin
symptom,hair loss
symptom,blurred vision
symptom,double vision
symptom,numbness
symptom,tingling
symptom,memory loss
symptom,forgetfulness
symptom,confusion
symptom,anxiety
symptom,panic attacks
symptom,depression
symptom,insomnia
symptom,sleep disorder
symptom,loss of appetite
symptom,weight loss
symptom,weight gain
symptom,loss of balance
symptom,tremors
symptom,jerking movements
symptom,sensitivity to light
symptom,sensitivity to sound
symptom,slurred speech
symptom,difficulty swallowing
symptom,hoarseness
symptom,loss of smell
symptom,loss of taste
symptom,frequent urination
symptom,painful urination
symptom,blood in urine
symptom,yellowing of skin
symptom,jaundice
symptom,pale skin
symptom,bluish lips
symptom,purple toes
symptom,cold hands
symptom,night sweats
symptom,lightheadedness
symptom,fainting
symptom,seizures
symptom,muscle stiffness
symptom,rigidity
symptom,paralysis
symptom,hallucinations
symptom,delusions
symptom,agitation
symptom,restlessness
symptom,chest tightness
symptom,irritability
symptom,mood swings
symptom,head fullness
symptom,earache
symptom,loss of appetite
symptom,hot flashes
symptom,menstrual irregularity
symptom,pelvic pain
symptom,nausea and vomiting
symptom,weight loss with no cause
symptom,hyperhidrosis
symptom,flushing
symptom,dysphagia
symptom,shortness of breath
symptom,wheezing
symptom,hemoptysis
symptom,laryngitis
symptom,petechiae
symptom,cyanosis
symptom,cognitive decline
symptom,confusion
symptom,delirium
symptom,hiccups
symptom,tinnitus
symptom,visual disturbances
symptom,lightheadedness
symptom,blurry vision
symptom,unexplained bruising
symptom,diabetic ketoacidosis
symptom,anxiety attacks
symptom,back spasms
symptom,constipation
symptom,restless leg syndrome
symptom,sore muscles
symptom,muscle fatigue
symptom,diabetes-related nerve pain
symptom,fainting spells
symptom,pruritus
symptom,nasal congestion
symptom,chronic cough
symptom,chronic fatigue
symptom,menstrual cramps
symptom,muscle cramps
symptom,dry mouth
symptom,tongue swelling
symptom,nausea after eating
symptom,chronic dizziness
symptom,dry throat
symptom,yellowing of the eyes
